      Step     Time          Energy          fmax
FIRE:    0 04:51:42     -281.952789        0.322501
FIRE:    1 04:51:42     -281.965149        0.098863
FIRE:    2 04:51:42     -281.961914        0.196921
FIRE:    3 04:51:42     -281.963623        0.160564
FIRE:    4 04:51:42     -281.965942        0.131332
FIRE:    5 04:51:43     -281.967346        0.103681
FIRE:    6 04:51:43     -281.967224        0.091924
FIRE:    7 04:51:43     -281.967285        0.091780
FIRE:    8 04:51:43     -281.967407        0.091498
FIRE:    9 04:51:43     -281.967560        0.091089
FIRE:   10 04:51:43     -281.967743        0.090566
FIRE:   11 04:51:43     -281.967896        0.089948
FIRE:   12 04:51:43     -281.968079        0.092294
FIRE:   13 04:51:43     -281.968231        0.096015
FIRE:   14 04:51:43     -281.968384        0.099640
FIRE:   15 04:51:44     -281.968567        0.102661
FIRE:   16 04:51:44     -281.968750        0.104517
FIRE:   17 04:51:44     -281.969055        0.104662
FIRE:   18 04:51:44     -281.969421        0.102628
FIRE:   19 04:51:44     -281.969910        0.098171
FIRE:   20 04:51:44     -281.970520        0.091571
FIRE:   21 04:51:44     -281.971130        0.084124
FIRE:   22 04:51:44     -281.971863        0.082233
FIRE:   23 04:51:44     -281.972778        0.080323
FIRE:   24 04:51:45     -281.973877        0.077643
FIRE:   25 04:51:45     -281.975067        0.080949
FIRE:   26 04:51:45     -281.976440        0.079092
FIRE:   27 04:51:45     -281.978027        0.068201
FIRE:   28 04:51:45     -281.979675        0.063551
FIRE:   29 04:51:45     -281.981537        0.057890
FIRE:   30 04:51:45     -281.983276        0.050912
FIRE:   31 04:51:45     -281.985077        0.044096
FIRE:   32 04:51:45     -281.986603        0.036808
FIRE:   33 04:51:45     -281.987610        0.038094
FIRE:   34 04:51:46     -281.988129        0.038014
FIRE:   35 04:51:46     -281.988281        0.018148
FIRE:   36 04:51:46     -281.988281        0.017598
FIRE:   37 04:51:46     -281.988281        0.016987
FIRE:   38 04:51:46     -281.988312        0.017160
FIRE:   39 04:51:46     -281.988342        0.017382
FIRE:   40 04:51:46     -281.988342        0.017607
FIRE:   41 04:51:46     -281.988342        0.017602
FIRE:   42 04:51:46     -281.988342        0.017590
FIRE:   43 04:51:47     -281.988342        0.017572
FIRE:   44 04:51:47     -281.988342        0.017550
FIRE:   45 04:51:47     -281.988342        0.017525
FIRE:   46 04:51:47     -281.988342        0.017495
FIRE:   47 04:51:47     -281.988342        0.017464
FIRE:   48 04:51:47     -281.988342        0.017430
FIRE:   49 04:51:47     -281.988342        0.017393
FIRE:   50 04:51:47     -281.988342        0.017355
FIRE:   51 04:51:48     -281.988342        0.017318
FIRE:   52 04:51:48     -281.988342        0.017286
FIRE:   53 04:51:48     -281.988342        0.017258
FIRE:   54 04:51:48     -281.988403        0.017235
FIRE:   55 04:51:48     -281.988373        0.017209
FIRE:   56 04:51:48     -281.988403        0.017169
FIRE:   57 04:51:48     -281.988403        0.017099
FIRE:   58 04:51:48     -281.988403        0.016984
FIRE:   59 04:51:48     -281.988403        0.016823
FIRE:   60 04:51:49     -281.988464        0.016636
FIRE:   61 04:51:49     -281.988495        0.016450
FIRE:   62 04:51:49     -281.988525        0.016268
FIRE:   63 04:51:49     -281.988525        0.016032
FIRE:   64 04:51:49     -281.988586        0.015673
FIRE:   65 04:51:49     -281.988586        0.015240
FIRE:   66 04:51:49     -281.988678        0.014837
FIRE:   67 04:51:49     -281.988770        0.014291
FIRE:   68 04:51:49     -281.988831        0.013571
FIRE:   69 04:51:50     -281.988892        0.012990
FIRE:   70 04:51:50     -281.989014        0.011696
FIRE:   71 04:51:50     -281.989075        0.020510
FIRE:   72 04:51:50     -281.989136        0.011091
FIRE:   73 04:51:50     -281.989105        0.018198
FIRE:   74 04:51:50     -281.989105        0.014019
FIRE:   75 04:51:50     -281.989136        0.010746
FIRE:   76 04:51:50     -281.989136        0.011064
FIRE:   77 04:51:50     -281.989136        0.011058
FIRE:   78 04:51:51     -281.989136        0.011047
FIRE:   79 04:51:51     -281.989105        0.011031
FIRE:   80 04:51:51     -281.989136        0.011009
FIRE:   81 04:51:51     -281.989136        0.010986
FIRE:   82 04:51:51     -281.989136        0.010962
FIRE:   83 04:51:51     -281.989136        0.010939
FIRE:   84 04:51:51     -281.989136        0.010916
FIRE:   85 04:51:51     -281.989136        0.010895
FIRE:   86 04:51:51     -281.989136        0.010878
FIRE:   87 04:51:52     -281.989136        0.010868
FIRE:   88 04:51:52     -281.989136        0.010864
FIRE:   89 04:51:52     -281.989136        0.010864
FIRE:   90 04:51:52     -281.989136        0.010859
FIRE:   91 04:51:52     -281.989197        0.010837
FIRE:   92 04:51:52     -281.989197        0.010787
FIRE:   93 04:51:52     -281.989166        0.010707
FIRE:   94 04:51:52     -281.989197        0.010613
FIRE:   95 04:51:52     -281.989166        0.010530
FIRE:   96 04:51:53     -281.989197        0.010463
FIRE:   97 04:51:53     -281.989227        0.010369
FIRE:   98 04:51:53     -281.989258        0.010195
FIRE:   99 04:51:53     -281.989258        0.009982
FIRE:  100 04:51:53     -281.989319        0.009810
FIRE:  101 04:51:53     -281.989319        0.009535
FIRE:  102 04:51:53     -281.989349        0.009166
FIRE:  103 04:51:53     -281.989380        0.008896
FIRE:  104 04:51:53     -281.989441        0.008098
FIRE:  105 04:51:54     -281.989471        0.016505
FIRE:  106 04:51:54     -281.989502        0.007817
FIRE:  107 04:51:54     -281.989471        0.014925
FIRE:  108 04:51:54     -281.989502        0.011375
FIRE:  109 04:51:54     -281.989502        0.007561
FIRE:  110 04:51:56     -281.989502        0.007828
FIRE:  111 04:51:56     -281.989502        0.007823
FIRE:  112 04:51:57     -281.989532        0.007811
FIRE:  113 04:51:57     -281.989532        0.007795
FIRE:  114 04:51:57     -281.989502        0.007774
FIRE:  115 04:51:57     -281.989502        0.007750
FIRE:  116 04:51:57     -281.989502        0.007725
FIRE:  117 04:51:57     -281.989502        0.007702
FIRE:  118 04:51:57     -281.989532        0.007680
FIRE:  119 04:51:57     -281.989532        0.007660
FIRE:  120 04:51:57     -281.989532        0.007646
FIRE:  121 04:51:58     -281.989502        0.007639
FIRE:  122 04:51:58     -281.989502        0.007640
FIRE:  123 04:51:58     -281.989502        0.007644
FIRE:  124 04:51:58     -281.989502        0.007642
FIRE:  125 04:51:58     -281.989532        0.007624
FIRE:  126 04:51:58     -281.989502        0.007579
FIRE:  127 04:51:58     -281.989532        0.007505
FIRE:  128 04:51:58     -281.989563        0.007421
FIRE:  129 04:51:58     -281.989532        0.007354
FIRE:  130 04:51:59     -281.989563        0.007305
FIRE:  131 04:51:59     -281.989563        0.007226
FIRE:  132 04:51:59     -281.989563        0.007072
FIRE:  133 04:51:59     -281.989563        0.006895
FIRE:  134 04:51:59     -281.989624        0.006769
FIRE:  135 04:51:59     -281.989594        0.006532
FIRE:  136 04:51:59     -281.989624        0.006250
FIRE:  137 04:51:59     -281.989655        0.006030
FIRE:  138 04:51:59     -281.989624        0.005416
FIRE:  139 04:51:59     -281.989685        0.013202
FIRE:  140 04:52:00     -281.989685        0.005192
FIRE:  141 04:52:00     -281.989685        0.012038
FIRE:  142 04:52:00     -281.989685        0.009064
FIRE:  143 04:52:00     -281.989685        0.005021
FIRE:  144 04:52:00     -281.989685        0.005238
FIRE:  145 04:52:00     -281.989685        0.005232
FIRE:  146 04:52:00     -281.989685        0.005222
FIRE:  147 04:52:00     -281.989685        0.005205
FIRE:  148 04:52:00     -281.989685        0.005185
FIRE:  149 04:52:01     -281.989716        0.005163
FIRE:  150 04:52:01     -281.989685        0.005141
FIRE:  151 04:52:01     -281.989685        0.005119
FIRE:  152 04:52:01     -281.989685        0.005100
FIRE:  153 04:52:01     -281.989685        0.005085
FIRE:  154 04:52:01     -281.989685        0.005076
FIRE:  155 04:52:01     -281.989685        0.005075
FIRE:  156 04:52:01     -281.989685        0.005081
FIRE:  157 04:52:01     -281.989685        0.005091
FIRE:  158 04:52:02     -281.989685        0.005097
FIRE:  159 04:52:02     -281.989685        0.005087
FIRE:  160 04:52:02     -281.989716        0.005052
FIRE:  161 04:52:02     -281.989685        0.004995
FIRE:  162 04:52:02     -281.989716        0.004932
FIRE:  163 04:52:02     -281.989685        0.004891
FIRE:  164 04:52:02     -281.989685        0.004872
FIRE:  165 04:52:02     -281.989746        0.004826
FIRE:  166 04:52:02     -281.989746        0.004714
FIRE:  167 04:52:02     -281.989716        0.004593
FIRE:  168 04:52:03     -281.989746        0.004527
FIRE:  169 04:52:03     -281.989746        0.004364
FIRE:  170 04:52:03     -281.989746        0.004176
FIRE:  171 04:52:03     -281.989746        0.004050
FIRE:  172 04:52:03     -281.989746        0.004356
FIRE:  173 04:52:03     -281.989777        0.010846
FIRE:  174 04:52:03     -281.989807        0.003472
FIRE:  175 04:52:03     -281.989807        0.003474
FIRE:  176 04:52:03     -281.989777        0.003475
FIRE:  177 04:52:04     -281.989777        0.003476
FIRE:  178 04:52:04     -281.989807        0.003474
FIRE:  179 04:52:04     -281.989777        0.003468
FIRE:  180 04:52:04     -281.989807        0.003459
FIRE:  181 04:52:04     -281.989777        0.003445
FIRE:  182 04:52:04     -281.989807        0.003428
FIRE:  183 04:52:04     -281.989746        0.003409
FIRE:  184 04:52:04     -281.989777        0.003391
FIRE:  185 04:52:04     -281.989807        0.003372
FIRE:  186 04:52:05     -281.989807        0.003347
FIRE:  187 04:52:05     -281.989807        0.003306
FIRE:  188 04:52:05     -281.989777        0.003253
FIRE:  189 04:52:05     -281.989777        0.003200
FIRE:  190 04:52:05     -281.989807        0.003136
FIRE:  191 04:52:05     -281.989777        0.003043
FIRE:  192 04:52:05     -281.989807        0.002947
FIRE:  193 04:52:05     -281.989777        0.002814
FIRE:  194 04:52:05     -281.989777        0.002681
FIRE:  195 04:52:05     -281.989807        0.002433
FIRE:  196 04:52:06     -281.989807        0.005980
FIRE:  197 04:52:06     -281.989807        0.002254
FIRE:  198 04:52:06     -281.989807        0.002261
FIRE:  199 04:52:06     -281.989807        0.002271
FIRE:  200 04:52:06     -281.989807        0.002281
FIRE:  201 04:52:06     -281.989807        0.002287
FIRE:  202 04:52:06     -281.989807        0.002284
FIRE:  203 04:52:06     -281.989807        0.002273
FIRE:  204 04:52:06     -281.989807        0.002256
FIRE:  205 04:52:07     -281.989807        0.002235
FIRE:  206 04:52:07     -281.989807        0.002218
FIRE:  207 04:52:07     -281.989807        0.002210
FIRE:  208 04:52:07     -281.989807        0.002207
FIRE:  209 04:52:07     -281.989807        0.002196
FIRE:  210 04:52:07     -281.989807        0.002157
FIRE:  211 04:52:07     -281.989807        0.002112
FIRE:  212 04:52:07     -281.989807        0.002085
FIRE:  213 04:52:07     -281.989807        0.002053
FIRE:  214 04:52:08     -281.989807        0.001967
FIRE:  215 04:52:08     -281.989868        0.001925
FIRE:  216 04:52:08     -281.989807        0.001813
