      Step     Time          Energy          fmax
FIRE:    0 05:13:06     -278.854065        2.911886
FIRE:    1 05:13:06     -280.009827        1.452453
FIRE:    2 05:13:06     -280.128357        1.272008
FIRE:    3 05:13:06     -280.194702        1.046657
FIRE:    4 05:13:07     -280.283020        0.648600
FIRE:    5 05:13:07     -280.336792        0.161325
FIRE:    6 05:13:07     -280.324768        0.328297
FIRE:    7 05:13:07     -280.325958        0.315749
FIRE:    8 05:13:07     -280.328186        0.291078
FIRE:    9 05:13:07     -280.331024        0.255155
FIRE:   10 05:13:07     -280.334167        0.209253
FIRE:   11 05:13:07     -280.337006        0.155019
FIRE:   12 05:13:07     -280.339203        0.094436
FIRE:   13 05:13:08     -280.340332        0.029784
FIRE:   14 05:13:08     -280.340210        0.043243
FIRE:   15 05:13:08     -280.340210        0.042720
FIRE:   16 05:13:08     -280.340210        0.041690
FIRE:   17 05:13:08     -280.340240        0.040162
FIRE:   18 05:13:08     -280.340271        0.038149
FIRE:   19 05:13:08     -280.340302        0.035686
FIRE:   20 05:13:08     -280.340332        0.032790
FIRE:   21 05:13:09     -280.340363        0.029512
FIRE:   22 05:13:09     -280.340393        0.025468
FIRE:   23 05:13:09     -280.340454        0.020581
FIRE:   24 05:13:09     -280.340454        0.014773
FIRE:   25 05:13:09     -280.340485        0.008004
FIRE:   26 05:13:09     -280.340485        0.000322
FIRE:   27 05:13:09     -280.340454        0.008129
FIRE:   28 05:13:09     -280.340454        0.008059
FIRE:   29 05:13:09     -280.340454        0.007904
FIRE:   30 05:13:10     -280.340454        0.007680
FIRE:   31 05:13:10     -280.340454        0.007384
FIRE:   32 05:13:10     -280.340454        0.007017
FIRE:   33 05:13:10     -280.340515        0.006584
FIRE:   34 05:13:10     -280.340454        0.006090
FIRE:   35 05:13:10     -280.340454        0.005480
FIRE:   36 05:13:10     -280.340485        0.004732
FIRE:   37 05:13:10     -280.340454        0.003831
FIRE:   38 05:13:10     -280.340485        0.002761
FIRE:   39 05:13:11     -280.340454        0.001519
FIRE:   40 05:13:11     -280.340454        0.000104
FIRE:   41 05:13:11     -280.340515        0.001452
FIRE:   42 05:13:11     -280.340515        0.001443
FIRE:   43 05:13:11     -280.340485        0.001416
FIRE:   44 05:13:11     -280.340454        0.001373
FIRE:   45 05:13:11     -280.340485        0.001328
FIRE:   46 05:13:11     -280.340454        0.001262
FIRE:   47 05:13:11     -280.340485        0.001191
FIRE:   48 05:13:12     -280.340454        0.001106
FIRE:   49 05:13:12     -280.340454        0.001000
FIRE:   50 05:13:12     -280.340485        0.000871
FIRE:   51 05:13:12     -280.340454        0.000721
FIRE:   52 05:13:12     -280.340485        0.000540
FIRE:   53 05:13:12     -280.340485        0.000321
FIRE:   54 05:13:12     -280.340515        0.000076
FIRE:   55 05:13:12     -280.340454        0.000200
FIRE:   56 05:13:13     -280.340454        0.000194
FIRE:   57 05:13:13     -280.340485        0.000190
FIRE:   58 05:13:13     -280.340454        0.000188
FIRE:   59 05:13:13     -280.340485        0.000182
FIRE:   60 05:13:13     -280.340454        0.000173
FIRE:   61 05:13:13     -280.340454        0.000165
FIRE:   62 05:13:13     -280.340454        0.000149
FIRE:   63 05:13:13     -280.340515        0.000138
FIRE:   64 05:13:13     -280.340485        0.000121
FIRE:   65 05:13:14     -280.340454        0.000100
FIRE:   66 05:13:14     -280.340515        0.000076
FIRE:   67 05:13:14     -280.340485        0.000052
FIRE:   68 05:13:14     -280.340515        0.000016
FIRE:   69 05:13:14     -280.340454        0.000015
FIRE:   70 05:13:14     -280.340454        0.000014
FIRE:   71 05:13:14     -280.340454        0.000014
FIRE:   72 05:13:14     -280.340454        0.000014
FIRE:   73 05:13:14     -280.340454        0.000014
FIRE:   74 05:13:15     -280.340454        0.000015
FIRE:   75 05:13:15     -280.340454        0.000014
FIRE:   76 05:13:15     -280.340454        0.000012
FIRE:   77 05:13:15     -280.340454        0.000012
FIRE:   78 05:13:15     -280.340454        0.000008
FIRE:   79 05:13:15     -280.340454        0.000007
FIRE:   80 05:13:15     -280.340454        0.000007
FIRE:   81 05:13:15     -280.340454        0.000007
FIRE:   82 05:13:15     -280.340454        0.000007
FIRE:   83 05:13:16     -280.340454        0.000000
