idx,energy,volume,natom,a,b,c,alpha,beta,gamma,conv
pre-0,-42.596710205078125,144.40414493419834,8,5.246381723764567,5.246381723764567,5.246381723764567,90.0,90.0,90.0,True
post-0,-42.596710205078125,144.40414493419834,8,5.246381723764567,5.246381723764567,5.246381723764567,90.0,90.0,90.0,True
pre-1,-43.147071838378906,153.61873596067977,8,5.355681343009662,5.355681343009662,5.355681343009662,90.0,90.0,90.0,True
post-1,-43.147071838378906,153.61873596067977,8,5.355681343009661,5.355681343009661,5.355681343009661,90.0,90.0,90.0,True
pre-2,-43.317848205566406,163.21721387419336,8,5.464980962254757,5.464980962254757,5.464980962254757,90.0,90.0,90.0,True
post-2,-43.317848205566406,163.21721387419336,8,5.464980962254757,5.464980962254757,5.464980962254757,90.0,90.0,90.0,True
pre-3,-43.181190490722656,173.20741310100502,8,5.574280581499853,5.574280581499853,5.574280581499853,90.0,90.0,90.0,True
post-3,-43.181190490722656,173.20741310100502,8,5.574280581499853,5.574280581499853,5.574280581499853,90.0,90.0,90.0,True
pre-4,-42.774898529052734,183.59716806738064,8,5.683580200744948,5.683580200744948,5.683580200744948,90.0,90.0,90.0,True
post-4,-42.77490234375,183.59716806738064,8,5.683580200744948,5.683580200744948,5.683580200744948,90.0,90.0,90.0,True
