       Step     Time          Energy          fmax
FIRE2:    0 13:34:26      -43.317688        0.020645
FIRE2:    1 13:34:29      -43.317696        0.019838
FIRE2:    2 13:34:29      -43.317719        0.018256
FIRE2:    3 13:34:29      -43.317749        0.015953
FIRE2:    4 13:34:29      -43.317780        0.013015
FIRE2:    5 13:34:29      -43.317810        0.009555
FIRE2:    6 13:34:29      -43.317833        0.005706
FIRE2:    7 13:34:29      -43.317841        0.001618
FIRE2:    8 13:34:29      -43.317841        0.002549
FIRE2:    9 13:34:29      -43.317848        0.001491
FIRE2:   10 13:34:30      -43.317848        0.001461
FIRE2:   11 13:34:30      -43.317848        0.001418
FIRE2:   12 13:34:30      -43.317848        0.001356
FIRE2:   13 13:34:30      -43.317848        0.001285
FIRE2:   14 13:34:30      -43.317848        0.001202
FIRE2:   15 13:34:30      -43.317844        0.001106
FIRE2:   16 13:34:30      -43.317848        0.000996
